0.00.076.277 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.076.771 W srv  llama_server: -----------------
0.00.076.775 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.076.775 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.076.776 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.076.776 W srv  llama_server: -----------------
0.00.078.065 I srv    load_model: loading model '/workspace/template-repos/template-890/repo/models/qwen2.5-coder-7b-instruct-q4_k_m.gguf'
0.00.415.631 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.705.214 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.01.709.337 I srv  llama_server: model loaded
0.01.709.345 I srv  llama_server: listening on http://127.0.0.1:8081
0.07.195.630 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.09.128.661 I slot print_timing: id  3 | task 98 |       total time =     400.45 ms /   674 tokens
0.09.128.662 I slot print_timing: id  3 | task 98 |    graphs reused =        108
0.09.128.857 I slot      release: id  3 | task 98 | stop processing: n_tokens = 1913, truncated = 0
0.09.243.981 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.970 (> 0.100 thold), f_keep = 0.469
0.09.301.745 I slot launch_slot_: id  3 | task 116 | processing task, is_child = 0
0.09.885.071 I slot print_timing: id  3 | task 116 | prompt eval time =      32.34 ms /    28 tokens (    1.15 ms per token,   865.85 tokens per second)
0.09.885.078 I slot print_timing: id  3 | task 116 |        eval time =     550.93 ms /    57 tokens (    9.67 ms per token,   103.46 tokens per second)
0.09.885.078 I slot print_timing: id  3 | task 116 |       total time =     583.27 ms /    85 tokens
0.09.885.079 I slot print_timing: id  3 | task 116 |    graphs reused =        163
0.09.885.144 I slot      release: id  3 | task 116 | stop processing: n_tokens = 981, truncated = 0
0.09.908.358 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.923 (> 0.100 thold), f_keep = 1.000
0.09.908.562 I slot launch_slot_: id  3 | task 174 | processing task, is_child = 0
0.10.516.286 I slot print_timing: id  3 | task 174 | prompt eval time =      57.28 ms /    82 tokens (    0.70 ms per token,  1431.51 tokens per second)
0.10.516.291 I slot print_timing: id  3 | task 174 |        eval time =     550.42 ms /    57 tokens (    9.66 ms per token,   103.56 tokens per second)
0.10.516.292 I slot print_timing: id  3 | task 174 |       total time =     607.71 ms /   139 tokens
0.10.516.293 I slot print_timing: id  3 | task 174 |    graphs reused =        218
0.10.516.397 I slot      release: id  3 | task 174 | stop processing: n_tokens = 1119, truncated = 0
0.10.539.590 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.932 (> 0.100 thold), f_keep = 1.000
0.10.539.819 I slot launch_slot_: id  3 | task 232 | processing task, is_child = 0
0.11.147.985 I slot print_timing: id  3 | task 232 | prompt eval time =      57.32 ms /    82 tokens (    0.70 ms per token,  1430.64 tokens per second)
0.11.148.004 I slot print_timing: id  3 | task 232 |        eval time =     550.83 ms /    57 tokens (    9.66 ms per token,   103.48 tokens per second)
0.11.148.007 I slot print_timing: id  3 | task 232 |       total time =     608.15 ms /   139 tokens
0.11.148.008 I slot print_timing: id  3 | task 232 |    graphs reused =        273
0.11.148.080 I slot      release: id  3 | task 232 | stop processing: n_tokens = 1257, truncated = 0
0.11.171.006 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.939 (> 0.100 thold), f_keep = 1.000
0.11.171.199 I slot launch_slot_: id  3 | task 290 | processing task, is_child = 0
0.11.784.411 I slot print_timing: id  3 | task 290 | prompt eval time =      57.66 ms /    82 tokens (    0.70 ms per token,  1422.20 tokens per second)
0.11.784.417 I slot print_timing: id  3 | task 290 |        eval time =     555.54 ms /    57 tokens (    9.75 ms per token,   102.60 tokens per second)
0.11.784.417 I slot print_timing: id  3 | task 290 |       total time =     613.19 ms /   139 tokens
0.11.784.419 I slot print_timing: id  3 | task 290 |    graphs reused =        328
0.11.784.493 I slot      release: id  3 | task 290 | stop processing: n_tokens = 1395, truncated = 0
0.11.808.139 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.944 (> 0.100 thold), f_keep = 1.000
0.11.808.337 I slot launch_slot_: id  3 | task 348 | processing task, is_child = 0
0.12.421.528 I slot print_timing: id  3 | task 348 | prompt eval time =      57.77 ms /    82 tokens (    0.70 ms per token,  1419.37 tokens per second)
0.12.421.534 I slot print_timing: id  3 | task 348 |        eval time =     555.40 ms /    57 tokens (    9.74 ms per token,   102.63 tokens per second)
0.12.421.546 I slot print_timing: id  3 | task 348 |       total time =     613.17 ms /   139 tokens
0.12.421.550 I slot print_timing: id  3 | task 348 |    graphs reused =        383
0.12.421.628 I slot      release: id  3 | task 348 | stop processing: n_tokens = 1533, truncated = 0
0.12.445.237 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.949 (> 0.100 thold), f_keep = 1.000
0.12.445.438 I slot launch_slot_: id  3 | task 406 | processing task, is_child = 0
0.13.059.382 I slot print_timing: id  3 | task 406 | prompt eval time =      58.10 ms /    82 tokens (    0.71 ms per token,  1411.36 tokens per second)
0.13.059.391 I slot print_timing: id  3 | task 406 |        eval time =     555.82 ms /    57 tokens (    9.75 ms per token,   102.55 tokens per second)
0.13.059.392 I slot print_timing: id  3 | task 406 |       total time =     613.92 ms /   139 tokens
0.13.059.393 I slot print_timing: id  3 | task 406 |    graphs reused =        438
0.13.059.473 I slot      release: id  3 | task 406 | stop processing: n_tokens = 1671, truncated = 0
0.13.164.394 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.967 (> 0.100 thold), f_keep = 0.537
0.13.164.620 I slot launch_slot_: id  3 | task 464 | processing task, is_child = 0
0.13.911.063 I slot print_timing: id  3 | task 464 | prompt eval time =      28.14 ms /    31 tokens (    0.91 ms per token,  1101.60 tokens per second)
0.13.911.071 I slot print_timing: id  3 | task 464 |        eval time =     718.28 ms /    74 tokens (    9.71 ms per token,   103.02 tokens per second)
0.13.911.072 I slot print_timing: id  3 | task 464 |       total time =     746.42 ms /   105 tokens
0.13.911.077 I slot print_timing: id  3 | task 464 |    graphs reused =        510
0.13.911.144 I slot      release: id  3 | task 464 | stop processing: n_tokens = 1001, truncated = 0
0.13.933.972 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.787 (> 0.100 thold), f_keep = 0.927
0.13.934.167 I slot launch_slot_: id  3 | task 539 | processing task, is_child = 0
0.14.796.444 I slot print_timing: id  3 | task 539 | prompt eval time =      96.88 ms /   251 tokens (    0.39 ms per token,  2590.81 tokens per second)
0.14.796.448 I slot print_timing: id  3 | task 539 |        eval time =     765.38 ms /    79 tokens (    9.69 ms per token,   103.22 tokens per second)
0.14.796.449 I slot print_timing: id  3 | task 539 |       total time =     862.26 ms /   330 tokens
0.14.796.450 I slot print_timing: id  3 | task 539 |    graphs reused =        587
0.14.796.523 I slot      release: id  3 | task 539 | stop processing: n_tokens = 1257, truncated = 0
0.14.965.085 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.971 (> 0.100 thold), f_keep = 0.714
0.14.965.324 I slot launch_slot_: id  3 | task 619 | processing task, is_child = 0
0.15.350.701 I slot print_timing: id  3 | task 619 | prompt eval time =      28.35 ms /    27 tokens (    1.05 ms per token,   952.41 tokens per second)
0.15.350.708 I slot print_timing: id  3 | task 619 |        eval time =     357.00 ms /    37 tokens (    9.65 ms per token,   103.64 tokens per second)
0.15.350.709 I slot print_timing: id  3 | task 619 |       total time =     385.35 ms /    64 tokens
0.15.350.710 I slot print_timing: id  3 | task 619 |    graphs reused =        622
0.15.350.799 I slot      release: id  3 | task 619 | stop processing: n_tokens = 960, truncated = 0
0.15.373.786 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.745 (> 0.100 thold), f_keep = 0.962
0.15.373.992 I slot launch_slot_: id  3 | task 657 | processing task, is_child = 0
0.15.851.631 I slot print_timing: id  3 | task 657 | prompt eval time =     111.44 ms /   316 tokens (    0.35 ms per token,  2835.53 tokens per second)
0.15.851.638 I slot print_timing: id  3 | task 657 |        eval time =     366.18 ms /    38 tokens (    9.64 ms per token,   103.78 tokens per second)
0.15.851.639 I slot print_timing: id  3 | task 657 |       total time =     477.62 ms /   354 tokens
0.15.851.640 I slot print_timing: id  3 | task 657 |    graphs reused =        658
0.15.851.713 I slot      release: id  3 | task 657 | stop processing: n_tokens = 1277, truncated = 0
0.15.874.343 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.984 (> 0.100 thold), f_keep = 1.000
0.15.874.562 I slot launch_slot_: id  3 | task 696 | processing task, is_child = 0
0.16.191.328 I slot print_timing: id  3 | task 696 | prompt eval time =      27.05 ms /    21 tokens (    1.29 ms per token,   776.40 tokens per second)
0.16.191.335 I slot print_timing: id  3 | task 696 |        eval time =     289.70 ms /    30 tokens (    9.66 ms per token,   103.56 tokens per second)
0.16.191.336 I slot print_timing: id  3 | task 696 |       total time =     316.75 ms /    51 tokens
0.16.191.336 I slot print_timing: id  3 | task 696 |    graphs reused =        686
0.16.191.412 I slot      release: id  3 | task 696 | stop processing: n_tokens = 1327, truncated = 0
0.16.416.328 I srv    operator(): operator(): cleaning up before exit...
